Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2022/23,05/08/2022,19:30,Ein Frankfurt,Bayern Munich,1,6,A,,,,,,10,11,2,0,0,0
2022/23,06/08/2022,14:30,Augsburg,Freiburg,0,4,A,,,,,,13,13,0,0,0,0
2022/23,06/08/2022,14:30,Bochum,Mainz,1,2,A,,,,,,11,16,2,3,0,0
2022/23,06/08/2022,17:30,Dortmund,Leverkusen,1,0,H,,,,,,14,13,2,4,0,1
2022/23,06/08/2022,14:30,M'gladbach,Hoffenheim,3,1,H,,,,,,18,12,1,4,0,1
2022/23,06/08/2022,14:30,Union Berlin,Hertha,3,1,H,,,,,,23,17,2,3,0,0
2022/23,06/08/2022,14:30,Wolfsburg,Werder Bremen,2,2,D,,,,,,11,14,2,2,0,0
2022/23,07/08/2022,16:30,FC Koln,Schalke 04,3,1,H,,,,,,8,10,0,1,0,1
2022/23,07/08/2022,14:30,Stuttgart,RB Leipzig,1,1,D,,,,,,14,9,2,1,0,0
2022/23,12/08/2022,19:30,Freiburg,Dortmund,1,3,A,,,,,,16,10,1,3,0,0
2022/23,13/08/2022,14:30,Hertha,Ein Frankfurt,1,1,D,,,,,,11,11,3,1,0,0
2022/23,13/08/2022,14:30,Hoffenheim,Bochum,3,2,H,,,,,,13,10,1,1,0,0
2022/23,13/08/2022,14:30,Leverkusen,Augsburg,1,2,A,,,,,,7,16,1,6,0,0
2022/23,13/08/2022,14:30,RB Leipzig,FC Koln,2,2,D,,,,,,8,18,1,4,1,0
2022/23,13/08/2022,17:30,Schalke 04,M'gladbach,2,2,D,,,,,,12,8,4,2,0,0
2022/23,13/08/2022,14:30,Werder Bremen,Stuttgart,2,2,D,,,,,,6,10,4,2,0,0
2022/23,14/08/2022,16:30,Bayern Munich,Wolfsburg,2,0,H,,,,,,7,10,2,1,0,0
2022/23,14/08/2022,14:30,Mainz,Union Berlin,0,0,D,,,,,,9,14,1,0,0,0
2022/23,19/08/2022,19:30,M'gladbach,Hertha,1,0,H,,,,,,7,11,1,2,0,1
2022/23,20/08/2022,14:30,Augsburg,Mainz,1,2,A,,,,,,13,19,2,2,0,0
2022/23,20/08/2022,14:30,Dortmund,Werder Bremen,2,3,A,,,,,,13,9,4,1,0,0
2022/23,20/08/2022,14:30,Leverkusen,Hoffenheim,0,3,A,,,,,,15,18,1,4,0,0
2022/23,20/08/2022,14:30,Stuttgart,Freiburg,0,1,A,,,,,,8,12,4,2,0,0
2022/23,20/08/2022,17:30,Union Berlin,RB Leipzig,2,1,H,,,,,,14,8,2,1,0,0
