Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,02/08/2024,19:30,FC Koln,Hamburg,1,2,A,,,,,,18,7,2,2,0,0
2024/25,03/08/2024,12:00,Hannover,Regensburg,2,0,H,,,,,,12,17,1,0,0,0
2024/25,03/08/2024,12:00,Hertha,Paderborn,1,2,A,,,,,,16,7,2,1,0,0
2024/25,03/08/2024,12:00,Karlsruhe,Nurnberg,3,2,H,,,,,,15,12,2,4,0,0
2024/25,03/08/2024,12:00,Magdeburg,Elversberg,0,0,D,,,,,,11,8,3,2,0,0
2024/25,03/08/2024,19:30,Schalke 04,Braunschweig,5,1,H,,,,,,13,11,2,2,0,0
2024/25,04/08/2024,12:30,Darmstadt,Dusseldorf,0,2,A,,,,,,16,7,2,2,1,0
2024/25,04/08/2024,12:30,Greuther Furth,Preußen Münster,3,1,H,,,,,,9,11,1,2,0,0
2024/25,04/08/2024,12:30,Ulm,Kaiserslautern,1,2,A,,,,,,12,16,2,3,0,0
2024/25,09/08/2024,17:30,Kaiserslautern,Greuther Furth,2,2,D,,,,,,10,14,3,1,0,0
2024/25,09/08/2024,17:30,Regensburg,Ulm,1,0,H,,,,,,22,16,3,2,0,0
2024/25,10/08/2024,12:00,Dusseldorf,Karlsruhe,0,0,D,,,,,,6,6,2,1,0,0
2024/25,10/08/2024,12:00,Elversberg,FC Koln,2,2,D,,,,,,13,13,3,2,0,0
2024/25,10/08/2024,19:30,Hamburg,Hertha,1,1,D,,,,,,9,8,2,2,0,0
2024/25,10/08/2024,12:00,Nurnberg,Schalke 04,3,1,H,,,,,,11,12,3,4,1,1
2024/25,11/08/2024,12:30,Braunschweig,Magdeburg,1,3,A,,,,,,9,15,0,1,0,0
2024/25,11/08/2024,12:30,Paderborn,Darmstadt,3,1,H,,,,,,8,11,1,1,0,0
2024/25,11/08/2024,12:30,Preußen Münster,Hannover,0,0,D,,,,,,13,11,3,1,0,0
2024/25,23/08/2024,17:30,Hannover,Hamburg,1,0,H,,,,,,20,18,4,4,0,1
2024/25,23/08/2024,17:30,Karlsruhe,Elversberg,3,2,H,,,,,,8,6,2,0,0,0
2024/25,24/08/2024,19:30,FC Koln,Braunschweig,5,0,H,,,,,,14,7,2,1,0,0
2024/25,24/08/2024,12:00,Greuther Furth,Paderborn,1,1,D,,,,,,12,16,2,4,0,0
2024/25,24/08/2024,12:00,Hertha,Regensburg,2,0,H,,,,,,12,9,4,2,0,1
2024/25,24/08/2024,12:00,Preußen Münster,Kaiserslautern,0,1,A,,,,,,15,18,4,4,0,0
2024/25,25/08/2024,12:30,Darmstadt,Nurnberg,1,1,D,,,,,,13,11,2,3,0,0
2024/25,25/08/2024,12:30,Magdeburg,Schalke 04,2,2,D,,,,,,9,12,4,2,0,0
2024/25,25/08/2024,12:30,Ulm,Dusseldorf,1,2,A,,,,,,10,13,2,5,0,0
2024/25,30/08/2024,17:30,Dusseldorf,Hannover,1,0,H,,,,,,12,11,3,5,0,0
2024/25,30/08/2024,17:30,Regensburg,Greuther Furth,0,4,A,,,,,,14,8,3,2,0,0
2024/25,31/08/2024,12:00,Elversberg,Darmstadt,4,0,H,,,,,,10,17,2,3,0,0
2024/25,31/08/2024,12:00,Hamburg,Preußen Münster,4,1,H,,,,,,13,8,0,0,0,0
2024/25,31/08/2024,19:30,Kaiserslautern,Hertha,3,4,A,,,,,,6,10,1,1,0,0
2024/25,31/08/2024,12:00,Nurnberg,Magdeburg,0,4,A,,,,,,7,12,0,1,0,0
2024/25,01/09/2024,12:30,Braunschweig,Karlsruhe,1,2,A,,,,,,9,10,2,1,0,0
2024/25,01/09/2024,12:30,Paderborn,Ulm,0,0,D,,,,,,13,12,3,3,0,0
2024/25,01/09/2024,12:30,Schalke 04,FC Koln,1,3,A,,,,,,6,17,2,4,0,0
2024/25,13/09/2024,17:30,Karlsruhe,Schalke 04,2,0,H,,,,,,8,14,4,1,0,0
