Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2022/23,12/08/2022,20:00,Osasuna,Sevilla,2,1,H,,,,,,16,9,5,3,0,0
2022/23,13/08/2022,20:00,Barcelona,Vallecano,0,0,D,,,,,,16,14,3,6,1,0
2022/23,13/08/2022,16:00,Celta,Espanol,2,2,D,,,,,,17,15,5,2,0,0
2022/23,13/08/2022,18:00,Valladolid,Villarreal,0,3,A,,,,,,6,10,1,0,0,0
2022/23,14/08/2022,21:00,Almeria,Real Madrid,1,2,A,,,,,,11,4,3,1,0,0
2022/23,14/08/2022,16:30,Cadiz,Sociedad,0,1,A,,,,,,9,20,4,2,0,0
2022/23,14/08/2022,18:30,Valencia,Girona,1,0,H,,,,,,18,14,2,3,1,0
2022/23,15/08/2022,16:30,Ath Bilbao,Mallorca,0,0,D,,,,,,13,12,0,6,0,0
2022/23,15/08/2022,20:30,Betis,Elche,3,0,H,,,,,,10,18,3,6,0,1
2022/23,15/08/2022,18:30,Getafe,Ath Madrid,0,3,A,,,,,,14,19,2,1,0,0
2022/23,19/08/2022,19:00,Espanol,Vallecano,0,2,A,,,,,,12,17,2,5,1,1
2022/23,19/08/2022,21:00,Sevilla,Valladolid,1,1,D,,,,,,20,10,3,2,1,1
2022/23,20/08/2022,21:00,Celta,Real Madrid,1,4,A,,,,,,12,8,2,2,0,0
2022/23,20/08/2022,18:30,Mallorca,Betis,1,2,A,,,,,,22,17,7,8,0,0
2022/23,20/08/2022,16:30,Osasuna,Cadiz,2,0,H,,,,,,11,13,2,5,0,1
2022/23,21/08/2022,16:30,Ath Bilbao,Valencia,1,0,H,,,,,,11,15,5,2,0,0
2022/23,21/08/2022,18:30,Ath Madrid,Villarreal,0,2,A,,,,,,8,11,2,3,1,0
2022/23,21/08/2022,21:00,Sociedad,Barcelona,1,4,A,,,,,,16,9,2,1,0,0
2022/23,22/08/2022,19:00,Elche,Almeria,1,1,D,,,,,,12,16,1,4,0,1
2022/23,22/08/2022,21:00,Girona,Getafe,3,1,H,,,,,,16,18,3,6,0,1
2022/23,26/08/2022,21:00,Betis,Osasuna,1,0,H,,,,,,9,21,0,3,1,0
2022/23,26/08/2022,19:00,Girona,Celta,0,1,A,,,,,,16,13,2,1,0,0
2022/23,27/08/2022,21:00,Almeria,Sevilla,2,1,H,,,,,,18,11,5,8,0,0
2022/23,27/08/2022,16:30,Elche,Sociedad,0,1,A,,,,,,13,18,3,3,0,0
2022/23,27/08/2022,18:30,Vallecano,Mallorca,0,2,A,,,,,,11,18,1,3,0,0
2022/23,28/08/2022,18:30,Barcelona,Valladolid,4,0,H,,,,,,9,8,0,3,0,0
2022/23,28/08/2022,21:00,Espanol,Real Madrid,1,3,A,,,,,,15,12,0,0,1,0
2022/23,28/08/2022,16:30,Getafe,Villarreal,0,0,D,,,,,,11,19,1,5,0,0
2022/23,29/08/2022,19:00,Cadiz,Ath Bilbao,0,4,A,,,,,,18,4,2,1,0,0
2022/23,29/08/2022,21:00,Valencia,Ath Madrid,0,1,A,,,,,,15,17,4,3,0,0
2022/23,02/09/2022,20:00,Celta,Cadiz,3,0,H,,,,,,13,23,1,2,0,0
2022/23,03/09/2022,13:00,Mallorca,Girona,1,1,D,,,,,,23,9,4,2,0,0
2022/23,03/09/2022,15:15,Real Madrid,Betis,2,1,H,,,,,,8,12,0,1,0,0
2022/23,03/09/2022,20:00,Sevilla,Barcelona,0,3,A,,,,,,15,14,2,4,0,0
2022/23,03/09/2022,17:30,Sociedad,Ath Madrid,1,1,D,,,,,,18,13,5,4,0,0
2022/23,04/09/2022,15:15,Ath Bilbao,Espanol,0,1,A,,,,,,12,12,3,2,0,0
2022/23,04/09/2022,13:00,Osasuna,Vallecano,2,1,H,,,,,,14,16,2,2,0,0
2022/23,04/09/2022,20:00,Valencia,Getafe,5,1,H,,,,,,11,21,3,6,1,1
2022/23,04/09/2022,17:30,Villarreal,Elche,4,0,H,,,,,,10,9,1,3,0,0
2022/23,05/09/2022,20:00,Valladolid,Almeria,1,0,H,,,,,,11,20,1,6,0,0
2022/23,09/09/2022,20:00,Girona,Valladolid,2,1,H,,,,,,11,15,0,2,0,0
2022/23,10/09/2022,20:00,Ath Madrid,Celta,4,1,H,,,,,,11,6,2,3,0,0
