Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2026/27,21/08/2026,19:45,Marseille,Strasbourg,4,0,H,Ruddy Buquet,1,,,,6,12,1,2,0,1
2026/27,22/08/2026,19:45,Le Mans,Brest,2,2,D,,,,,,14,12,1,1,0,0
2026/27,22/08/2026,16:15,Lens,Auxerre,5,2,H,Mathieu Vernice,1,,,,6,21,1,1,0,1
2026/27,22/08/2026,19:45,Nice,Lorient,0,0,D,Romain Lissorgue,1,,,,15,8,1,0,0,0
2026/27,22/08/2026,19:45,Toulouse,Lyon,0,2,A,Guillaume Paradis,1,,,,15,15,1,2,0,0
2026/27,22/08/2026,19:45,Troyes,Paris FC,0,0,D,Marc Bollengier,1,,,,8,14,2,1,0,0
2026/27,23/08/2026,14:00,Angers,Lille,0,2,A,Jérémy Stinat,1,,,,11,13,2,2,0,0
2026/27,23/08/2026,16:15,Le Havre,Monaco,0,1,A,Jérémie Pignard,1,,,,13,12,3,2,0,0
2026/27,23/08/2026,19:45,Rennes,Paris SG,2,2,D,Bastien Dechepy,1,,,,7,6,2,2,0,0
2026/27,28/08/2026,19:45,Lille,Paris SG,2,2,D,,,,,,11,7,2,1,0,0
2026/27,29/08/2026,19:45,Auxerre,Angers,1,3,A,,,,,,16,6,3,2,0,0
2026/27,29/08/2026,19:45,Brest,Toulouse,2,2,D,,,,,,19,18,2,3,0,0
2026/27,29/08/2026,19:45,Lorient,Troyes,1,2,A,,,,,,9,11,0,0,0,0
2026/27,29/08/2026,19:45,Lyon,Le Havre,1,1,D,,,,,,7,16,0,2,0,0
2026/27,29/08/2026,16:15,Strasbourg,Lens,2,1,H,,,,,,10,11,2,2,0,0
2026/27,30/08/2026,19:45,Monaco,Marseille,2,0,H,,,,,,9,10,4,0,0,0
2026/27,30/08/2026,14:00,Paris FC,Nice,3,0,H,,,,,,7,7,0,1,0,0
2026/27,30/08/2026,16:15,Rennes,Le Mans,3,2,H,,,,,,15,15,3,2,0,1
