Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2026/27,14/08/2026,19:30,Galatasaray,Corum,2,2,D,,,,,,11,6,1,0,0,1
2026/27,15/08/2026,19:30,Gaziantep,Alanyaspor,1,1,D,,,,,,14,21,3,3,0,0
2026/27,15/08/2026,19:30,Genclerbirligi,Fenerbahce,2,1,H,,,,,,7,10,0,1,0,0
2026/27,15/08/2026,17:00,Kasimpasa,Trabzonspor,1,1,D,,,,,,17,9,2,0,0,0
2026/27,15/08/2026,17:00,Konyaspor,Rizespor,0,1,A,,,,,,12,11,1,4,0,0
2026/27,16/08/2026,19:30,Amedspor,Erzurumspor,3,0,H,,,,,,10,12,1,0,0,0
2026/27,16/08/2026,19:30,Besiktas,Eyupspor,1,0,H,,,,,,20,14,2,3,0,1
2026/27,16/08/2026,17:00,Buyuksehyr,Kocaelispor,2,0,H,,,,,,14,14,2,2,0,0
2026/27,17/08/2026,19:30,Samsunspor,Goztep,3,3,D,,,,,,8,13,1,3,0,0
2026/27,21/08/2026,19:30,Erzurumspor,Galatasaray,0,4,A,,,,,,11,12,1,0,0,0
2026/27,22/08/2026,17:00,Corum,Kasimpasa,0,1,A,,,,,,12,13,1,3,0,0
2026/27,22/08/2026,19:30,Fenerbahce,Konyaspor,4,2,H,,,,,,11,10,0,3,0,0
2026/27,22/08/2026,17:00,Rizespor,Samsunspor,0,2,A,,,,,,13,11,1,1,0,0
2026/27,23/08/2026,19:30,Alanyaspor,Besiktas,1,0,H,,,,,,14,14,0,0,0,0
2026/27,23/08/2026,17:00,Eyupspor,Gaziantep,0,1,A,,,,,,16,17,0,1,0,1
2026/27,23/08/2026,19:30,Goztep,Genclerbirligi,0,1,A,,,,,,15,12,1,2,0,0
2026/27,23/08/2026,17:00,Trabzonspor,Buyuksehyr,2,1,H,,,,,,13,18,3,4,0,0
2026/27,24/08/2026,19:30,Kocaelispor,Amedspor,2,0,H,,,,,,9,16,0,2,0,0
2026/27,28/08/2026,19:30,Genclerbirligi,Erzurumspor,1,1,D,,,,,,15,11,3,3,0,0
2026/27,29/08/2026,19:30,Galatasaray,Goztep,3,2,H,,,,,,5,12,2,2,0,0
2026/27,29/08/2026,19:30,Gaziantep,Rizespor,1,2,A,,,,,,10,17,1,2,0,0
2026/27,29/08/2026,17:00,Konyaspor,Kocaelispor,1,2,A,,,,,,16,12,1,3,1,0
2026/27,30/08/2026,19:30,Buyuksehyr,Kasimpasa,1,1,D,,,,,,11,13,3,1,0,0
2026/27,30/08/2026,17:00,Eyupspor,Alanyaspor,2,1,H,,,,,,16,22,3,1,1,0
2026/27,30/08/2026,19:30,Samsunspor,Fenerbahce,0,2,A,,,,,,13,18,0,1,0,0
2026/27,31/08/2026,19:30,Amedspor,Trabzonspor,2,1,H,,,,,,18,10,5,3,0,0
2026/27,31/08/2026,19:30,Besiktas,Corum,6,2,H,,,,,,9,11,2,3,0,0
2026/27,04/09/2026,18:00,Buyuksehyr,Galatasaray,2,3,A,Kadir Sağlam,4,Fatih Tokail,,,14,15,2,3,1,0
2026/27,05/09/2026,15:00,Erzurumspor,Konyaspor,1,0,H,Yasin Kol,4,Alpaslan Şen,,,13,11,1,4,0,0
2026/27,05/09/2026,18:00,Fenerbahce,Besiktas,1,2,A,Halil Umut Meler,4,Batuhan Kolak,,,18,21,4,3,0,0
2026/27,06/09/2026,15:00,Corum,Eyupspor,3,0,H,Davut Dakul Çelik,4,Direnç Tonusluoğlu,,,15,8,1,2,0,0
2026/27,06/09/2026,15:00,Kasimpasa,Amedspor,2,2,D,Oğuzhan Çakır,4,Hakan Ülker,,,15,10,5,2,0,0
2026/27,06/09/2026,18:00,Kocaelispor,Samsunspor,1,0,H,Reşat Onur Coşkunses,4,Doğukan Yıldırım,,,13,14,1,0,0,0
2026/27,06/09/2026,18:00,Trabzonspor,Genclerbirligi,5,0,H,Çağdaş Altay,4,Yusuf Adnan Kendirciler,,,12,12,3,1,0,0
2026/27,07/09/2026,18:00,Goztep,Gaziantep,2,4,A,Ümit Öztürk,4,Yusuf Ziya Gündüz,,,18,10,3,2,1,0
2026/27,07/09/2026,18:00,Rizespor,Alanyaspor,0,1,A,Abdullah Buğra Taşkınsoy,4,Birkan Altındaş,,,8,15,1,1,0,0
